"job_title","job_title_short","job_location","search_location","job_schedule_type","job_no_degree_mention","job_health_insurance","salary_year_avg","company_name"
"Data Analyst III (REMOTE)","Data Analyst","Anywhere","Guam","Full-time","","","95000.0","Ryder System"
"Program/Data Analyst (Health Services) Remote!","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"95000.0","General Dynamics Information Technology"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time",1,"","95000.0","Polygence"
"Data Analyst * Work from home","Data Analyst","Anywhere","New York, United States","Full-time","",1,"95000.0","American Red Cross"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","95000.0","Insight Global"
"Data Analyst - Looker","Data Analyst","Anywhere","Texas, United States","Full-time",1,1,"95000.0","Hays"
"Data Analyst Role","Data Analyst","Anywhere","New York, United States","Full-time","",1,"95000.0","Motion Recruitment"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Contractor",1,"","95000.0","Insight Global"
"(Remote) Marketing Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"95000.0","Clark Associates"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","94871.5","Protect Democracy"
"Business Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","94000.0","Tactis LLC"
"Data Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"93000.0","Get It Recruit - Information Technology"
"Statistical Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"93000.0","Get It Recruit - Information Technology"
"Data Analyst (US REMOTE)","Data Analyst","Anywhere","Georgia","Full-time","",1,"92500.0","LeanTaaS"
"Data Analyst [70649]","Data Analyst","Anywhere","New York, United States","Full-time","","","92500.0","0nward Select"
"Operations Data Analyst (Greater LA Area, CA or Remote)","Data Analyst","Anywhere","California, United States","Full-time","",1,"92500.0","HopSkipDrive"
"Data Insights Analyst (all genders) - Remote","Data Analyst","Anywhere","Germany","Full-time","","","92000.0","OUTFITTERY"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"91000.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","90000.0","Grant Leading Technology, LLC"
"Data Analyst","Data Analyst","Anywhere","Sudan","Full-time",1,"","90000.0","Venteon"
"Healthcare Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"90000.0","Get It Recruit - Finance"
"Strategic Data Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"90000.0","Get It Recruit - Finance"
"Real Estate Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"90000.0","Get It Recruit - Real Estate"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"90000.0","General Dynamics Information Technology"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time",1,1,"90000.0","EcoCart"
